"","GEO","Ref_Date","TYPE","STATUS","IMMIGRA","Value","GEO2"
"137","Alberta","1998/1999","University","Full-time student","Total, student status",53508,"AB"
"138","Alberta","1998/1999","University","Part-time student","Canadian students",19866,"AB"
"139","Alberta","1998/1999","University","Part-time student","International students",396,"AB"
"140","Alberta","1998/1999","University","Part-time student","Total, student status",20262,"AB"
"141","Alberta","1998/1999","University","Total, registration status","Canadian students",71241,"AB"
"142","Alberta","1998/1999","University","Total, registration status","International students",2532,"AB"
"143","Alberta","1992/1993","University","Part-time student","International students",192,"AB"
"144","Alberta","2001/2002","University","Full-time student","International students",3243,"AB"
"145","Alberta","2001/2002","University","Full-time student","Total, student status",60168,"AB"
"146","Alberta","2001/2002","University","Part-time student","Canadian students",17508,"AB"
"147","Alberta","2001/2002","University","Part-time student","International students",1455,"AB"
"148","Alberta","2001/2002","University","Part-time student","Total, student status",18963,"AB"
"149","Alberta","2013/2014","College","Total, registration status","Canadian students",51582,"AB"
"150","Alberta","2010/2011","College","Total, registration status","Total, student status",60246,"AB"
"151","Alberta","2005/2006","College","Part-time student","International students",777,"AB"
"152","Alberta","2010/2011","University","Part-time student","International students",1065,"AB"
"153","Alberta","2010/2011","University","Part-time student","Total, student status",32550,"AB"
"154","Alberta","2010/2011","University","Total, registration status","Canadian students",119238,"AB"
"155","Alberta","2010/2011","University","Total, registration status","International students",9123,"AB"
"156","Alberta","2005/2006","University","Full-time student","Canadian students",63129,"AB"
"157","Alberta","2005/2006","University","Full-time student","International students",4938,"AB"
"158","Alberta","2002/2003","University","Part-time student","Canadian students",19581,"AB"
"159","Alberta","2002/2003","University","Part-time student","International students",978,"AB"
"160","Alberta","2002/2003","University","Part-time student","Total, student status",20559,"AB"
"161","Alberta","2003/2004","College","Full-time student","Total, student status",39468,"AB"
"162","Alberta","2003/2004","College","Part-time student","International students",348,"AB"
"163","Alberta","2006/2007","College","Total, registration status","Total, student status",61770,"AB"
"164","Alberta","1996/1997","College","Full-time student","Canadian students",28674,"AB"
"165","Alberta","1995/1996","College","Full-time student","Canadian students",27285,"AB"
"166","Alberta","1996/1997","College","Full-time student","Total, student status",29367,"AB"
"167","Alberta","1999/2000","College","Part-time student","Canadian students",12252,"AB"
"168","Alberta","1999/2000","College","Part-time student","International students",159,"AB"
"169","Alberta","1996/1997","College","Part-time student","Total, student status",15402,"AB"
"170","Alberta","1999/2000","College","Total, registration status","Canadian students",44094,"AB"
"171","Alberta","1996/1997","College","Total, registration status","International students",510,"AB"
